iter	Logloss
0	0.6758296933
1	0.6598264886
2	0.6493997917
3	0.6363636232
4	0.6251409259
5	0.6148280886
6	0.6078577264
7	0.6017559529
8	0.5966323407
9	0.5907239179
10	0.5847562037
11	0.5798711736
12	0.5758882289
13	0.5725020483
14	0.5694291816
15	0.565175466
16	0.5620063235
17	0.5577942789
18	0.5545616672
19	0.5520754284
20	0.5487560959
21	0.5468736331
22	0.5433613494
23	0.5415698218
24	0.5401516986
25	0.5383942125
26	0.5373167601
27	0.5333331977
28	0.5321920579
29	0.5288669125
30	0.527418744
31	0.5261900478
32	0.5248582458
33	0.5230422677
34	0.5194342897
35	0.5164449104
36	0.515226859
37	0.5139838123
38	0.5126708295
39	0.5107893476
40	0.5095626859
41	0.5086655415
